,date,date1,yearday,Year,month,season,Site,MA,raw,year,raw_min,raw_max,normday
209,1987FEB06,6/2/87,37,1987,FEB,winter,Delma,20.23839119,20.16,1987,1,0,29
210,1987FEB07,7/2/87,38,1987,FEB,winter,Delma,20.09260569,19.94,1987,1,0,30
211,1987FEB08,8/2/87,39,1987,FEB,winter,Delma,20.08492494,20.12,1987,1,0,31
212,1987FEB09,9/2/87,40,1987,FEB,winter,Delma,20.05226828,19.98,1987,1,0,32
213,1987FEB10,10/2/87,41,1987,FEB,winter,Delma,20.04529917,20.13,1987,1,0,33
214,1987FEB11,11/2/87,42,1987,FEB,winter,Delma,19.99125928,20.01,1987,1,0,34
215,1987FEB12,12/2/87,43,1987,FEB,winter,Delma,20.03709138,20.32,1987,1,0,35
216,1987FEB13,13/2/87,44,1987,FEB,winter,Delma,20.2034792,20.74,1987,1,0,36
217,1987FEB14,14/2/87,45,1987,FEB,winter,Delma,20.4630153,21.1,1987,1,0,37
218,1987FEB15,15/2/87,46,1987,FEB,winter,Delma,20.62661326,20.86,1987,1,0,38
219,1987FEB16,16/2/87,47,1987,FEB,winter,Delma,20.69639816,20.6,1987,1,0,39
220,1987FEB17,17/2/87,48,1987,FEB,winter,Delma,20.69487841,20.37,1987,1,0,40
221,1987FEB18,18/2/87,49,1987,FEB,winter,Delma,20.68089462,20.33,1987,1,0,41
222,1987FEB19,19/2/87,50,1987,FEB,winter,Delma,20.65877534,20.34,1987,1,0,42
223,1987FEB20,20/2/87,51,1987,FEB,winter,Delma,20.56427196,20.24,1987,1,0,43
224,1987FEB21,21/2/87,52,1987,FEB,winter,Delma,20.62236903,20.96,1987,1,0,44
225,1987FEB22,22/2/87,53,1987,FEB,winter,Delma,20.89138649,21.81,1987,1,0,45
226,1987FEB23,23/2/87,54,1987,FEB,winter,Delma,21.20853496,22,1987,1,0,46
227,1987FEB24,24/2/87,55,1987,FEB,winter,Delma,21.3667303,21.44,1987,1,0,47
228,1987FEB25,25/2/87,56,1987,FEB,winter,Delma,21.43649959,21.12,1987,1,0,48
229,1987FEB26,26/2/87,57,1987,FEB,winter,Delma,21.43496631,20.88,1987,1,0,49
230,1987FEB27,27/2/87,58,1987,FEB,winter,Delma,21.41563747,20.79,1987,1,0,50
231,1987FEB28,28/2/87,59,1987,FEB,winter,Delma,21.34955248,20.76,1987,1,0,51
232,1987MAR01,1/3/87,60,1987,MAR,spring,Delma,21.16094548,20.66,1987,1,0,52
233,1987MAR02,2/3/87,61,1987,MAR,spring,Delma,21.06148608,21.16,1987,1,0,53
