Date,date1,SST,SST_Anomaly,HotSpot,DHW
2014-Jan-20,20/1/14,19.669,-2.341,0,0
2014-Jan-21,21/1/14,19.99,-1.987,0,0
2014-Jan-22,22/1/14,20.225,-1.72,0,0
2014-Jan-23,23/1/14,20.256,-1.657,0,0
2014-Jan-24,24/1/14,20.497,-1.383,0,0
2014-Jan-25,25/1/14,20.567,-1.281,0,0
2014-Jan-26,26/1/14,21.043,-0.772,0,0
2014-Jan-27,27/1/14,21.005,-0.778,0,0
2014-Jan-28,28/1/14,21.005,-0.746,0,0
2014-Jan-29,29/1/14,21.131,-0.587,0,0
2014-Jan-30,30/1/14,21.16,-0.526,0,0
2014-Jan-31,31/1/14,20.845,-0.808,0,0
2014-Feb-01,1/2/14,21.122,-0.499,0,0
2014-Feb-02,2/2/14,20.563,-1.025,0,0
2014-Feb-03,3/2/14,20.735,-0.821,0,0
2014-Feb-04,4/2/14,19.786,-1.738,0,0
2014-Feb-05,5/2/14,20.875,-0.616,0,0
2014-Feb-06,6/2/14,20.565,-0.893,0,0
2014-Feb-07,7/2/14,20.359,-1.067,0,0
2014-Feb-08,8/2/14,20.228,-1.165,0,0
2014-Feb-09,9/2/14,20.321,-1.04,0,0
2014-Feb-10,10/2/14,20.662,-0.667,0,0
2014-Feb-11,11/2/14,20.691,-0.606,0,0
2014-Feb-12,12/2/14,20.486,-0.778,0,0
2014-Feb-13,13/2/14,20.316,-0.915,0,0
2014-Feb-14,14/2/14,20.875,-0.325,0,0
2014-Feb-15,15/2/14,20.844,-0.323,0,0
2014-Feb-16,16/2/14,20.972,-0.21,0,0
2014-Feb-17,17/2/14,20.6,-0.596,0,0
2014-Feb-18,18/2/14,20.029,-1.182,0,0
2014-Feb-19,19/2/14,20.648,-0.578,0,0
2014-Feb-20,20/2/14,21.001,-0.24,0,0
2014-Feb-21,21/2/14,21.508,0.252,0,0
2014-Feb-22,22/2/14,21.081,-0.189,0,0
2014-Feb-23,23/2/14,21.4,0.115,0,0
2014-Feb-24,24/2/14,20.981,-0.319,0,0
2014-Feb-25,25/2/14,21.63,0.316,0,0
2014-Feb-26,26/2/14,21.653,0.324,0,0
2014-Feb-27,27/2/14,22.08,0.737,0,0
2014-Feb-28,28/2/14,21.891,0.533,0,0
2014-Mar-01,1/3/14,22.377,1.004,0,0
2014-Mar-02,2/3/14,22.388,1,0,0
2014-Mar-03,3/3/14,22.235,0.832,0,0
2014-Mar-04,4/3/14,22.269,0.852,0,0
2014-Mar-05,5/3/14,22.235,0.803,0,0
2014-Mar-06,6/3/14,23.134,1.687,0,0
2014-Mar-07,7/3/14,23.288,1.826,0,0
2014-Mar-08,8/3/14,23.592,2.116,0,0
2014-Mar-09,9/3/14,23.75,2.259,0,0
2014-Mar-10,10/3/14,23.822,2.316,0,0
2014-Mar-11,11/3/14,23.893,2.373,0,0
2014-Mar-12,12/3/14,24.222,2.687,0,0
2014-Mar-13,13/3/14,24.144,2.594,0,0
2014-Mar-14,14/3/14,22.482,0.917,0,0
2014-Mar-15,15/3/14,22.75,1.171,0,0
2014-Mar-16,16/3/14,23.529,1.844,0,0
2014-Mar-17,17/3/14,23.12,1.329,0,0
2014-Mar-18,18/3/14,23.371,1.476,0,0
2014-Mar-19,19/3/14,23.544,1.544,0,0
2014-Mar-20,20/3/14,23.269,1.163,0,0
2014-Mar-21,21/3/14,23.709,1.498,0,0
2014-Mar-22,22/3/14,23.963,1.646,0,0
2014-Mar-23,23/3/14,23.795,1.372,0,0
2014-Mar-24,24/3/14,23.424,0.897,0,0
2014-Mar-25,25/3/14,23.514,0.881,0,0
2014-Mar-26,26/3/14,23.2,0.462,0,0
2014-Mar-27,27/3/14,23.49,0.646,0,0
2014-Mar-28,28/3/14,23.951,1.002,0,0
2014-Mar-29,29/3/14,23.671,0.617,0,0
2014-Mar-30,30/3/14,23.753,0.593,0,0
2014-Mar-31,31/3/14,24.187,0.921,0,0
2014-Apr-01,1/4/14,24.357,0.986,0,0
2014-Apr-02,2/4/14,24.277,0.801,0,0
2014-Apr-03,3/4/14,23.425,-0.156,0,0
2014-Apr-04,4/4/14,24.388,0.701,0,0
2014-Apr-05,5/4/14,24.357,0.565,0,0
2014-Apr-06,6/4/14,24.456,0.558,0,0
2014-Apr-07,7/4/14,24.537,0.534,0,0
2014-Apr-08,8/4/14,24.493,0.385,0,0
2014-Apr-09,9/4/14,25.48,1.266,0,0
2014-Apr-10,10/4/14,25.336,1.017,0,0
2014-Apr-11,11/4/14,25.927,1.503,0,0
2014-Apr-12,12/4/14,26.347,1.817,0,0
2014-Apr-13,13/4/14,25.982,1.346,0,0
2014-Apr-14,14/4/14,26.69,1.949,0,0
2014-Apr-15,15/4/14,27.731,2.885,0,0
2014-Apr-16,16/4/14,26.887,1.903,0,0
2014-Apr-17,17/4/14,27.26,2.137,0,0
2014-Apr-18,18/4/14,27.612,2.351,0,0
2014-Apr-19,19/4/14,27.76,2.361,0,0
2014-Apr-20,20/4/14,27.756,2.219,0,0
2014-Apr-21,21/4/14,27.057,1.382,0,0
2014-Apr-22,22/4/14,26.921,1.107,0,0
2014-Apr-23,23/4/14,27.526,1.574,0,0
2014-Apr-24,24/4/14,28.404,2.313,0,0
2014-Apr-25,25/4/14,28.5,2.271,0,0
2014-Apr-26,26/4/14,28.862,2.495,0,0
2014-Apr-27,27/4/14,28.611,2.106,0,0
2014-Apr-28,28/4/14,29.09,2.446,0,0
2014-Apr-29,29/4/14,29.393,2.611,0,0
2014-Apr-30,30/4/14,29.905,2.984,0,0
2014-May-01,1/5/14,29.914,2.856,0,0
2014-May-02,2/5/14,29.446,2.248,0,0
2014-May-03,3/5/14,29.54,2.204,0,0
2014-May-04,4/5/14,29.929,2.455,0,0
2014-May-05,5/5/14,29.048,1.436,0,0
2014-May-06,6/5/14,29.356,1.606,0,0
2014-May-07,7/5/14,29.001,1.112,0,0
2014-May-08,8/5/14,29.902,1.875,0,0
2014-May-09,9/5/14,29.554,1.388,0,0
2014-May-10,10/5/14,29.591,1.287,0,0
2014-May-11,11/5/14,28.793,0.351,0,0
2014-May-12,12/5/14,29.129,0.549,0,0
2014-May-13,13/5/14,28.922,0.204,0,0
2014-May-14,14/5/14,29.457,0.6,0,0
2014-May-15,15/5/14,29.492,0.497,0,0
2014-May-16,16/5/14,29.772,0.701,0,0
2014-May-17,17/5/14,29.711,0.565,0,0
2014-May-18,18/5/14,30.138,0.916,0,0
2014-May-19,19/5/14,29.766,0.468,0,0
2014-May-20,20/5/14,29.249,-0.125,0,0
2014-May-21,21/5/14,29.704,0.254,0,0
2014-May-22,22/5/14,30.393,0.868,0,0
2014-May-23,23/5/14,30.782,1.181,0,0
2014-May-24,24/5/14,30.856,1.179,0,0
2014-May-25,25/5/14,31.653,1.901,0,0
2014-May-26,26/5/14,30.694,0.866,0,0
2014-May-27,27/5/14,32.645,2.741,0.087,0
2014-May-28,28/5/14,32.799,2.819,0.241,0
2014-May-29,29/5/14,32.825,2.77,0.267,0
2014-May-30,30/5/14,33.049,2.918,0.491,0
2014-May-31,31/5/14,32.6,2.393,0.042,0
2014-Jun-01,1/6/14,33.202,2.919,0.644,0
2014-Jun-02,2/6/14,33.001,2.642,0.443,0
2014-Jun-03,3/6/14,32.523,2.089,0,0
2014-Jun-04,4/6/14,31.201,0.691,0,0
2014-Jun-05,5/6/14,31.169,0.584,0,0
2014-Jun-06,6/6/14,31.71,1.049,0,0
2014-Jun-07,7/6/14,32.122,1.386,0,0
2014-Jun-08,8/6/14,32.133,1.321,0,0
2014-Jun-09,9/6/14,31.842,0.954,0,0
2014-Jun-10,10/6/14,32.042,1.078,0,0
2014-Jun-11,11/6/14,32.428,1.388,0,0
2014-Jun-12,12/6/14,32.63,1.515,0.072,0
2014-Jun-13,13/6/14,,,,0
2014-Jun-14,14/6/14,,,,0
2014-Jun-15,15/6/14,,,,0
2014-Jun-16,16/6/14,31.686,0.317,0,0
2014-Jun-17,17/6/14,31.754,0.36,0,0
2014-Jun-18,18/6/14,31.364,-0.057,0,0
2014-Jun-19,19/6/14,31.305,-0.142,0,0
2014-Jun-20,20/6/14,31.787,0.314,0,0
2014-Jun-21,21/6/14,31.807,0.307,0,0
2014-Jun-22,22/6/14,31.928,0.403,0,0
2014-Jun-23,23/6/14,31.714,0.162,0,0
2014-Jun-24,24/6/14,31.209,-0.369,0,0
2014-Jun-25,25/6/14,31.656,0.051,0,0
2014-Jun-26,26/6/14,32.178,0.547,0,0
2014-Jun-27,27/6/14,32.503,0.847,0,0
2014-Jun-28,28/6/14,32.392,0.709,0,0
2014-Jun-29,29/6/14,31.83,0.122,0,0
2014-Jun-30,30/6/14,32.967,1.232,0.409,0
2014-Jul-01,1/7/14,33.033,1.272,0.475,0
2014-Jul-02,2/7/14,32.983,1.196,0.425,0
2014-Jul-03,3/7/14,32.616,0.802,0.058,0
2014-Jul-04,4/7/14,33.101,1.262,0.543,0
2014-Jul-05,5/7/14,32.968,1.103,0.41,0
