distance,t1,t2,date,date1,sst,sstanom,hotspot,dhw
1.8869,1.160799783,1.133125348,2013-Sep-07,7/9/13,30.07,-1.037,0,0
1.892,1.155467454,1.125867253,2013-Sep-06,6/9/13,30.222,-0.914,0,0
1.897,1.152551036,1.118721971,2013-Sep-05,5/9/13,30.221,-0.943,0,0
1.9021,1.14969081,1.113216797,2013-Sep-04,4/9/13,30.626,-0.567,0,0
1.9071,1.14745141,1.109051088,2013-Sep-03,3/9/13,30.645,-0.575,0,0
1.9121,1.150092558,1.106001188,2013-Sep-02,2/9/13,30.087,-1.162,0,0
1.9172,1.150288804,1.109183548,2013-Sep-01,1/9/13,30.67,-0.608,0,0
1.9222,1.150265218,1.108488654,2013-Aug-31,31/8/13,30.512,-0.794,0,0
1.9273,1.154021877,1.106899901,2013-Aug-30,30/8/13,30.121,-1.213,0,0
1.9323,1.156304573,1.109030667,2013-Aug-29,29/8/13,30.388,-0.975,0,0
1.9374,1.15661251,1.108460968,2013-Aug-28,28/8/13,30.518,-0.873,0,0
1.9424,1.16328526,1.104426352,2013-Aug-27,27/8/13,31.242,-0.178,0,0
1.9475,1.16641728,1.108313987,2013-Aug-26,26/8/13,31.212,-0.236,0,0
1.9525,1.165053301,1.110225883,2013-Aug-25,25/8/13,30.745,-0.732,0,0
1.9576,1.165897891,1.110709472,2013-Aug-24,24/8/13,31.146,-0.359,0,0
1.9626,1.164247451,1.117975639,2013-Aug-23,23/8/13,30.805,-0.729,0,0
1.9676,1.162662545,1.1241293,2013-Aug-22,22/8/13,30.607,-0.956,0,0
1.9727,1.16671581,1.129544971,2013-Aug-21,21/8/13,30.548,-1.043,0,0
1.9777,1.169082593,1.127489759,2013-Aug-20,20/8/13,30.5,-1.119,0,0
1.9828,1.169247779,1.121231991,2013-Aug-19,19/8/13,30.824,-0.823,0,0
1.9878,1.16597976,1.113262129,2013-Aug-18,18/8/13,30.866,-0.81,0,0
